
Project:     session
Program:     Inertial Explorer Version 8.70.6912
Profile:     Mapper Localization Output
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\mapper.ai\Desktop\paccar_dual_lidar_collect_20190410\session.cts
ProcessInfo: session by Unknown on 4/11/2019 at 11:34:22

Datum:       WGS84
Master 1:    Name P221, Status ENABLED
             Antenna height 0.008 m, to ARP [TRM59800.00(SCIT)]
             Lat, Lon, El Hgt 37 20 13.03169, -122 05 56.59197, 155.301 m [WGS84, 2019.274]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.880, y=-0.440, z=2.610 m (x-right, y-fwd, z-up)
Body to Sensor Rotations:
             xRot=0.000, yRot=90.000, zRot=180.000 degrees (Rotate IMU into Vehicle Frame)
IMU->Secondary Sensor Lever Arms: 
            x=0.000, y=-2.410, z=-1.380 m (x-right, y-fwd, z-up, IMU->SENSOR)
UTC Offset:  18 s
Geoid:       GEOID12B(CONUS).wpg [NAVD88] (Absolute correction)

Map projection Info:
  UTM Zone:    10

AccBdyX AccBdyY AccBdyZ VelBdyX VelBdyY VelBdyZ        Heading          Pitch           Roll         Easting        Northing        H-Ell       UTCTime   Undulation        H-MSL
(m/s^2) (m/s^2) (m/s^2)   (m/s)   (m/s)   (m/s)          (deg)          (deg)          (deg)             (m)             (m)          (m)         (sec)          (m)          (m)
  0.752   0.376  -0.149   0.060   8.932  -0.038 179.9692462847   0.6203643231 000.8580329461 589508.37437703 4140579.9261342      -30.865 1554924565.00      -32.646        1.780
 -1.328   0.399   0.565   0.018   9.007  -0.067 -179.895088768   0.4683987271 000.5241933572 589508.43101658 4140570.9719926      -30.810 1554924566.00      -32.646        1.836
  0.152  -0.238   0.449   0.035   9.050  -0.025 -179.516117294   0.4403524430 000.5558492754 589508.44919627 4140561.9549998      -30.778 1554924567.00      -32.646        1.868
  0.660   0.622  -0.589   0.094   9.071  -0.010 -179.460895621   0.4272259799 000.6974959015 589508.43651745 4140552.8966314      -30.746 1554924568.00      -32.646        1.900
 -0.183   0.092  -0.017   0.026   9.108  -0.027 -179.815504930   0.3472869084 000.9462741761 589508.44440281 4140543.8016093      -30.720 1554924569.00      -32.646        1.926
  0.176  -0.207   0.222   0.001   9.139  -0.031 -179.751597218   0.3917255150 000.7952997971 589508.48148597 4140534.6798240      -30.695 1554924570.00      -32.646        1.951
 -0.231  -0.155  -0.132   0.025   9.148  -0.032 -179.379071519   0.4308929098 000.4134921816 589508.48093526 4140525.5366994      -30.658 1554924571.00      -32.646        1.988
 -0.051  -0.489   0.182   0.030   8.903  -0.049 -179.069118540   0.2574127486 000.2200845483 589508.42927653 4140516.4801532      -30.625 1554924572.00      -32.646        2.022
 -0.703  -0.199   0.177   0.020   8.505  -0.041 -179.023837686   0.3122161617 000.7647324987 589508.34632222 4140507.7816371      -30.617 1554924573.00      -32.646        2.029
  0.018   0.092   0.142   0.017   8.111  -0.082 -179.231861472   0.5504577425 001.1537937599 589508.25706495 4140499.4552937      -30.604 1554924574.00      -32.646        2.043
  1.467  -0.755   0.052  -0.012   7.712  -0.081 -179.458426173   0.3900467486 001.3282193015 589508.20705636 4140491.5550675      -30.563 1554924575.00      -32.647        2.083
  0.496  -0.825   0.134   0.073   7.131  -0.089 -179.647702781   0.1959171885 001.5412163619 589508.19600497 4140484.1081029      -30.543 1554924576.00      -32.647        2.104
  0.275  -1.025   0.425   0.023   6.323   0.005 -179.606656085   0.2440857503 001.2858376134 589508.19135338 4140477.3800589      -30.533 1554924577.00      -32.647        2.114
  0.469  -1.191  -0.203   0.036   4.971  -0.013 -179.638151575   0.1455713870 001.2230013320 589508.19397354 4140471.7305429      -30.511 1554924578.00      -32.647        2.136
  0.064  -0.706  -0.037   0.008   3.902  -0.028 -179.614184750   0.3513033425 001.4216515292 589508.20889603 4140467.3352001      -30.506 1554924579.00      -32.647        2.140
  0.390  -0.750   0.148  -0.000   3.341  -0.005 -178.479218383   0.5123044829 001.1828026131 589508.20029542 4140463.7348877      -30.498 1554924580.00      -32.647        2.149
 -0.132  -0.550  -0.183   0.001   2.733  -0.008 -175.981712543   0.6525129850 001.5123851256 589508.09488439 4140460.6943890      -30.481 1554924581.00      -32.647        2.166
  0.282  -0.803   0.084   0.003   2.031  -0.028 -172.899950180   0.8053781247 001.8483675767 589507.87904854 4140458.3019330      -30.485 1554924582.00      -32.647        2.162
  0.407  -0.091  -0.000   0.020   1.583   0.000 -170.295031942   1.0041028064 001.7478535907 589507.63646235 4140456.5832932      -30.476 1554924583.00      -32.647        2.171
  0.390   0.993   0.103   0.013   2.155  -0.051 -166.677112863   1.0466220044 001.7819846865 589507.26499811 4140454.7827331      -30.458 1554924584.00      -32.647        2.189
  0.487   0.520  -0.287   0.050   2.775  -0.006 -158.314994378   0.9162282693 000.4128791167 589506.43263206 4140452.2825559      -30.438 1554924585.00      -32.647        2.209
  0.616  -0.041  -0.061  -0.020   2.907  -0.010 -146.107916558   0.8440928829 000.7246827489 589505.11614274 4140449.7497784      -30.407 1554924586.00      -32.647        2.240
  0.592  -0.542   0.077   0.023   2.763  -0.002 -133.316794210   1.1041125895 000.4177721763 589503.25791323 4140447.5425119      -30.389 1554924587.00      -32.647        2.258
  0.921   0.731   0.192   0.012   3.088  -0.040 -121.007340292   0.9926321913 000.9134551536 589500.98004009 4140445.7977755      -30.361 1554924588.00      -32.647        2.286
  0.593   0.542   0.322   0.003   3.698  -0.016 -108.479841555   0.5771231983 000.8828706665 589497.87871544 4140444.3649158      -30.322 1554924589.00      -32.647        2.325
  0.123  -0.158   0.196   0.033   3.817  -0.036 -99.3601410850   0.5615845829 001.7454013313 589494.17670379 4140443.4514453      -30.303 1554924590.00      -32.647        2.345
 -0.015   1.036  -0.116   0.016   4.117  -0.058 -95.2174671501   0.6887411064 001.3443194156 589490.33361154 4140442.9415673      -30.280 1554924591.00      -32.647        2.367
  0.508   0.801   0.321   0.008   4.990   0.002 -93.2103558868   0.4869797484 001.4079635674 589485.76960887 4140442.5830637      -30.246 1554924592.00      -32.647        2.401
  0.057   0.559  -0.047   0.052   5.678  -0.042 -92.5836145434   0.5535402555 001.4414644097 589480.42459052 4140442.2978660      -30.228 1554924593.00      -32.647        2.419
 -0.014   0.082   0.454  -0.001   6.045  -0.038 -91.9152134388   0.4425182235 001.5108782466 589474.55072429 4140442.0410131      -30.201 1554924594.00      -32.647        2.447
 -0.397  -0.171   0.936   0.052   6.006  -0.060 -91.6979707612   0.4800813365 001.2085284181 589468.51970512 4140441.8377414      -30.184 1554924595.00      -32.647        2.463
 -0.006   0.758  -0.163   0.032   6.116  -0.051 -91.4936425523   0.4120941646 001.3235325068 589462.53796636 4140441.6375052      -30.161 1554924596.00      -32.647        2.486
  0.310   0.696   0.676   0.015   6.815  -0.058 -91.5343282853   0.3931579094 001.6235160195 589456.11949333 4140441.4400000      -30.157 1554924597.00      -32.647        2.490
  0.578   0.131   0.160  -0.005   7.495  -0.034 -91.7179669882   0.2845251115 001.5056757898 589448.96006372 4140441.1995179      -30.154 1554924598.00      -32.647        2.494
  0.373  -0.568   0.221   0.053   7.594  -0.049 -91.6716548096   0.0181570325 001.0022578823 589441.29079063 4140440.9447368      -30.158 1554924599.00      -32.647        2.489
  1.198  -0.586   0.553   0.010   7.161  -0.006 -91.7326289782   0.0585448275 001.2536087374 589433.91358230 4140440.6794795      -30.184 1554924600.00      -32.647        2.463
  2.573   0.291  -0.297   0.103   6.732  -0.019 -91.8170371206   0.3182665960 001.5091651028 589426.96574435 4140440.4375094      -30.215 1554924601.00      -32.647        2.432
  0.327   0.357  -0.699   0.091   6.473   0.005 -91.8245027606   0.0093564008 001.4200529769 589420.37220450 4140440.2084323      -30.209 1554924602.00      -32.647        2.438
